#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
112.530113,26,51.55808
85.313122,21,51.610601
71.943028,17,51.67763
124.264113,27,51.74537
69.88526,17,51.786606
106.190222,24,51.846133
74.153126,18,51.888985
94.612522,22,51.943078
94.389716,23,51.999266
119.62188,28,52.068119
115.035334,26,52.137364
63.138805,16,52.17882
76.224926,20,52.235875
112.539521,26,52.30892
99.472791,22,52.383453
122.600428,27,52.458323
89.638437,22,52.519926
98.823822,23,52.579968
101.450885,25,52.642525
83.372911,20,52.691742
73.779407,18,52.735828
122.158992,28,52.81214
64.278692,16,52.851804
100.690617,24,52.911339
90.61609,21,52.964118
103.186701,25,53.024775
87.538187,22,53.084323
77.047692,20,53.136147
73.90409,18,53.182816
104.286411,24,53.244522
91.852667,23,53.304263
96.890569,22,53.360433
74.383387,19,53.40893
115.188268,26,53.483801
84.540728,21,53.536959
84.115912,21,53.588143
139.291554,30,53.66151
73.524077,18,53.703837
145.855001,32,53.785814
84.981292,22,53.841838
93.609113,23,53.89951
83.001966,21,53.949646
119.599706,28,54.021728
86.024906,21,54.078429
98.544485,24,54.141029
104.620118,25,54.209193
109.049193,25,54.271012
90.536243,22,54.326478
79.643573,19,54.374908
89.046435,21,54.430567
91.608122,22,54.485631
108.345819,26,54.54936
96.353404,22,54.602842
118.249081,27,54.66917
107.155697,25,54.730028
70.975443,17,54.771575
88.909206,21,54.823422
94.728201,23,54.88006
87.749455,20,54.932091
67.580644,17,54.977435
79.300695,19,55.022428
141.517009,30,55.093496
85.376769,21,55.144171
74.29707,19,55.191397
103.612114,25,55.252391
101.901389,24,55.310528
80.438443,20,55.361382
80.120237,19,55.412595
117.671933,27,55.480561
78.055886,19,55.527221
84.477253,21,55.580167
93.101268,22,55.63383
84.041945,20,55.68149
121.222286,27,55.74749
83.071736,20,55.796636
80.621581,20,55.846086
99.573811,23,55.902078
79.56611,20,55.951016
101.824392,25,56.016516
108.763167,24,56.076076
83.230125,21,56.127816
110.813326,24,56.187858
114.872458,26,56.251422
90.397751,21,56.310606
119.67958,27,56.380115
77.774129,19,56.428363
84.202024,21,56.482887
78.863306,19,56.536592
88.243923,21,56.592613
135.166605,28,56.662459
81.41163,20,56.71127
140.913031,32,56.78975
74.214498,18,56.832816
84.268695,20,56.908596
97.4259,22,56.961374
121.105723,26,57.024976
75.829267,19,57.073846
96.488076,23,57.130708
88.866894,21,57.185885
125.797369,27,57.253496
101.905959,23,57.311201
92.554641,23,57.383855
105.112663,25,57.446917
65.82964,17,57.488726
108.397755,25,57.551614
88.100519,21,57.608635
91.659247,21,57.661166
96.434252,24,57.721587
102.995721,25,57.782724
127.015392,27,57.853116
83.826049,21,57.903563
90.974224,21,57.954417
76.558699,18,57.998522
77.193516,19,58.043618
88.971076,21,58.095658
73.172314,20,58.147701
68.91644,17,58.188406
90.986647,22,58.241783
73.203704,18,58.284866
105.607718,24,58.342907
98.040678,22,58.396881
104.380286,24,58.459141
69.887406,19,58.507732
132.971651,28,58.576968
89.6329,21,58.63158
112.70492,26,58.695155
110.031241,24,58.753855
127.604184,28,58.824509
95.032551,23,58.882873
75.402177,20,58.932562
76.782759,19,58.978402
65.399915,16,59.01678
72.012258,18,59.05963
102.626481,24,59.117421
93.118542,22,59.175046
120.329692,27,59.2462
101.954949,24,59.305176
72.152629,17,59.346947
81.315101,20,59.394642
70.733554,17,59.437109
76.44835,19,59.487957
142.614438,31,59.566152
83.11313,22,59.624195
74.379706,18,59.672226
68.93721,17,59.718236
93.808858,23,59.778692
96.098035,22,59.836047
104.620015,24,59.895336
96.151309,23,59.951923
126.549315,28,60.018772
150.212921,31,60.096694
79.876457,19,60.141848
89.383688,21,60.192286
109.317821,25,60.257636
75.341817,19,60.304506
78.558976,19,60.350894
144.346263,30,60.43008
84.706578,21,60.483137
90.413231,21,60.534209
129.968633,29,60.607381
